column_position,name,role,expected_type
1,Subject,metadata_or_target,integer
2,level,metadata_or_target,integer
3,run,metadata_or_target,integer
4,flight_hours,metadata_or_target,numeric
5,performance,metadata_or_target,numeric
6,HRV_MeanNN,predictor,numeric
7,HRV_SDNN,predictor,numeric
8,HRV_SDANN1,predictor,numeric
9,HRV_SDNNI1,predictor,numeric
10,HRV_SDANN2,predictor,numeric
11,HRV_SDNNI2,predictor,numeric
12,HRV_RMSSD,predictor,numeric
13,HRV_SDSD,predictor,numeric
14,HRV_CVNN,predictor,numeric
15,HRV_CVSD,predictor,numeric
16,HRV_MedianNN,predictor,numeric
17,HRV_MadNN,predictor,numeric
18,HRV_MCVNN,predictor,numeric
19,HRV_IQRNN,predictor,numeric
20,HRV_Prc20NN,predictor,numeric
21,HRV_Prc80NN,predictor,numeric
22,HRV_pNN50,predictor,numeric
23,HRV_pNN20,predictor,numeric
24,HRV_MinNN,predictor,numeric
25,HRV_MaxNN,predictor,numeric
26,HRV_HTI,predictor,numeric
27,HRV_TINN,predictor,numeric
28,HRV_VLF,predictor,numeric
29,HRV_LF,predictor,numeric
30,HRV_HF,predictor,numeric
31,HRV_VHF,predictor,numeric
32,HRV_LFHF,predictor,numeric
33,HRV_LFn,predictor,numeric
34,HRV_HFn,predictor,numeric
35,HRV_LnHF,predictor,numeric
36,HRV_SD1,predictor,numeric
37,HRV_SD2,predictor,numeric
38,HRV_SD1SD2,predictor,numeric
39,HRV_S,predictor,numeric
40,HRV_CSI,predictor,numeric
41,HRV_CVI,predictor,numeric
42,HRV_CSI_Modified,predictor,numeric
43,HRV_PIP,predictor,numeric
44,HRV_IALS,predictor,numeric
45,HRV_PSS,predictor,numeric
46,HRV_PAS,predictor,numeric
47,HRV_GI,predictor,numeric
48,HRV_SI,predictor,numeric
49,HRV_AI,predictor,numeric
50,HRV_PI,predictor,numeric
51,HRV_C1d,predictor,numeric
52,HRV_C1a,predictor,numeric
53,HRV_SD1d,predictor,numeric
54,HRV_SD1a,predictor,numeric
55,HRV_C2d,predictor,numeric
56,HRV_C2a,predictor,numeric
57,HRV_SD2d,predictor,numeric
58,HRV_SD2a,predictor,numeric
59,HRV_Cd,predictor,numeric
60,HRV_Ca,predictor,numeric
61,HRV_SDNNd,predictor,numeric
62,HRV_SDNNa,predictor,numeric
63,HRV_DFA_alpha1,predictor,numeric
64,HRV_MFDFA_alpha1_Width,predictor,numeric
65,HRV_MFDFA_alpha1_Peak,predictor,numeric
66,HRV_MFDFA_alpha1_Mean,predictor,numeric
67,HRV_MFDFA_alpha1_Max,predictor,numeric
68,HRV_MFDFA_alpha1_Delta,predictor,numeric
69,HRV_MFDFA_alpha1_Asymmetry,predictor,numeric
70,HRV_MFDFA_alpha1_Fluctuation,predictor,numeric
71,HRV_MFDFA_alpha1_Increment,predictor,numeric
72,HRV_DFA_alpha2,predictor,numeric
73,HRV_MFDFA_alpha2_Width,predictor,numeric
74,HRV_MFDFA_alpha2_Peak,predictor,numeric
75,HRV_MFDFA_alpha2_Mean,predictor,numeric
76,HRV_MFDFA_alpha2_Max,predictor,numeric
77,HRV_MFDFA_alpha2_Delta,predictor,numeric
78,HRV_MFDFA_alpha2_Asymmetry,predictor,numeric
79,HRV_MFDFA_alpha2_Fluctuation,predictor,numeric
80,HRV_MFDFA_alpha2_Increment,predictor,numeric
